TUMORKEY	METASTASISKEY	METASTASISORGAN
29216	29218	Pancreas
29216	29219	Intestine - Large Intestine - Cecum
29216	29220	Liver
29216	29221	Kidney
29216	29222	Lung
29216	29223	Spleen
29216	29224	Muscle - Striated - Skeletal
29216	29225	CNS - Meninges
29216	29226	Heart
29216	29227	Intestine - Small Intestine - Duodenum
29216	29228	Intestine - Small Intestine - Jejunum
29216	29229	Stomach
29235	29236	Lung
29259	29260	Salivary gland
29259	29261	Lung
29259	29262	Heart
29259	29263	Liver
29259	29264	Spleen
29259	29265	Lymph node
29270	29271	Lung
29272	29273	Lung
29282	29283	Lung
29285	29286	Lung
29287	29289	Lung
29291	29292	Lung
29293	29294	Lung
29343	29344	Peyer's patch
29346	29347	Peyer's patch
29349	29351	Lymph node
29356	29357	Lung
29421	29422	Lung
29430	27836	Liver
29430	27837	Liver
29430	27838	Liver
29430	27839	Kidney
29430	27840	Kidney
29430	27841	Kidney
29430	27842	Pancreas
29430	27843	Pancreas
29430	27844	Pancreas
29430	27845	Spleen
29430	27846	Spleen
29430	27847	Spleen
29433	29434	Lung
29449	29450	Lung
29600	29601	Liver
29600	29602	Kidney
29600	29603	Lung
29600	29604	Bone marrow
29600	29605	Pericardium
29600	29606	Blood
29600	29607	Spleen
29616	29619	Liver
29616	29621	Spleen
29725	29727	Liver
29725	29731	Spleen
29774	29775	Spleen
29774	29776	Lung
29774	29777	Liver
29791	29792	Spleen
29791	29793	Liver
29791	29794	Kidney
29791	29795	Lymph node
29791	29796	Lung
29791	29797	Thymus
29791	29798	Bone marrow
29791	29799	Salivary gland
29791	29800	Pancreas
29791	29801	Heart
29791	29802	CNS - Meninges
29791	29803	Adrenal gland
29791	29804	Ovary
29791	29805	Testis
29791	29806	Seminal vesicle
29869	29870	Lymph node
29869	29871	Retroperitoneum
29881	29882	Liver
29881	29883	Kidney
29881	29884	Lymph node
29881	29885	Lung
29881	29886	Bone marrow
29881	29887	Salivary gland
29881	29888	Pancreas
29881	29889	Heart
29881	29890	CNS - Meninges
29881	29891	Adrenal gland
29881	29892	Ovary
29881	29893	Testis
29881	29894	Seminal vesicle
29895	29896	Spleen
29897	29898	Thymus
29901	29902	Lymph node
29901	29903	Lymph node
29901	29904	Spleen
29901	29905	Spleen
29937	29938	Liver
29948	29949	Liver
29957	29958	Liver
29959	29960	Liver
29964	29965	Lung
29969	29970	Liver
29986	29988	Lung
29995	29997	Liver
29999	30000	Liver
30011	30013	Lung
30014	30016	Lung
30101	30102	Lymph node
30330	30331	Liver
30330	30332	Spleen
30330	30333	Kidney
30396	30398	(Unspecified organ)
30397	30399	Skin
30405	30406	(Unspecified organ)
30421	30423	(Unspecified organ)
30421	30427	Mammary fat pad
30421	30431	Lung
30434	30435	Lymph node
30434	30436	Spleen
30438	30439	Lymph node
30438	30440	Spleen
30533	30534	Lung
30558	30564	Spleen
30558	30565	Lymph node - inguinal
30560	30563	CNS - Brain
30566	30570	CNS - Brain
31111	31112	Lung
31114	31115	Lung
31183	31185	Lung
31183	31186	Liver
31183	31187	Mesenchymal tissue
31184	31188	Lung
31184	31189	Liver
31184	31190	Mesenchymal tissue
31204	31218	(Unspecified organ)
31204	31219	(Unspecified organ)
31205	31216	(Unspecified organ)
31206	31217	(Unspecified organ)
31222	31228	(Unspecified organ)
31235	31238	Liver
31237	31239	Uterus
31290	31291	(Unspecified organ)
31292	31293	(Unspecified organ)
31292	31294	(Unspecified organ)
31292	31295	(Unspecified organ)
31305	31308	Connective tissue - Fibroblast
31323	31324	Lung
31331	31332	Lung
31463	31464	Peritoneum
31463	31465	Abdominal cavity
31463	31466	Pancreas
31463	31467	Liver
31463	31468	Intestine
31463	31469	Lung
